club_country,player_count,club_count,represented_squads,estimated_floor_usd,estimated_ceiling_usd,ceiling_rank,estimated_floor_text,estimated_ceiling_text
England,205,44,43,33620000,57400000,1,$33.62m,$57.40m
Germany,108,22,30,17640000,30240000,2,$17.64m,$30.24m
France,86,22,29,14195000,24080000,3,$14.20m,$24.08m
Spain,85,22,31,14180000,23800000,4,$14.18m,$23.80m
Italy,71,21,29,11635000,19880000,5,$11.63m,$19.88m
Saudi Arabia,49,12,19,8225000,13720000,6,$8.22m,$13.72m
United States,48,24,18,7825000,13440000,7,$7.83m,$13.44m
Türkiye,45,13,20,7375000,12600000,8,$7.38m,$12.60m
Netherlands,38,16,17,6170000,10640000,9,$6.17m,$10.64m
Brazil,32,13,7,5245000,8960000,10,$5.25m,$8.96m
Portugal,32,13,15,5330000,8960000,10,$5.33m,$8.96m
Belgium,29,14,13,4690000,8120000,12,$4.69m,$8.12m
Qatar,29,9,4,4570000,8120000,12,$4.57m,$8.12m
Mexico,26,14,6,4265000,7280000,14,$4.26m,$7.28m
Iran,23,6,3,3895000,6440000,15,$3.90m,$6.44m
Czech Republic,22,5,5,3540000,6160000,16,$3.54m,$6.16m
Egypt,20,5,4,3390000,5600000,17,$3.39m,$5.60m
Scotland,19,6,12,3040000,5320000,18,$3.04m,$5.32m
South Africa,19,5,1,3040000,5320000,18,$3.04m,$5.32m
Argentina,17,11,5,2845000,4760000,20,$2.85m,$4.76m
Uzbekistan,16,8,2,2715000,4480000,21,$2.71m,$4.48m
Australia,15,7,2,2525000,4200000,22,$2.52m,$4.20m
Iraq,15,5,2,2525000,4200000,22,$2.52m,$4.20m
United Arab Emirates,15,10,8,2520000,4200000,22,$2.52m,$4.20m
Denmark,14,7,12,2310000,3920000,25,$2.31m,$3.92m
Greece,12,7,9,1975000,3360000,26,$1.98m,$3.36m
Russia,12,9,9,1975000,3360000,26,$1.98m,$3.36m
Switzerland,12,7,7,1935000,3360000,26,$1.94m,$3.36m
Jordan,11,3,1,1925000,3080000,29,$1.93m,$3.08m
Cyprus,10,7,9,1645000,2800000,30,$1.65m,$2.80m
"Korea, South",8,5,2,1295000,2240000,31,$1.29m,$2.24m
Austria,7,5,5,1175000,1960000,32,$1.18m,$1.96m
Croatia,7,4,5,1135000,1960000,32,$1.14m,$1.96m
Japan,7,5,3,1130000,1960000,32,$1.13m,$1.96m
Norway,7,4,4,1155000,1960000,32,$1.16m,$1.96m
Tunisia,7,5,2,1135000,1960000,32,$1.14m,$1.96m
Ecuador,5,3,3,815000,1400000,37,$0.81m,$1.40m
Poland,5,5,4,825000,1400000,37,$0.82m,$1.40m
Israel,4,3,4,665000,1120000,39,$0.67m,$1.12m
Sweden,4,4,2,640000,1120000,39,$0.64m,$1.12m
Algeria,3,2,1,525000,840000,41,$0.53m,$0.84m
Hungary,3,3,3,500000,840000,41,$0.50m,$0.84m
Malaysia,3,2,2,510000,840000,41,$0.51m,$0.84m
Morocco,3,3,2,485000,840000,41,$0.48m,$0.84m
Paraguay,3,2,1,495000,840000,41,$0.49m,$0.84m
Bulgaria,2,2,1,340000,560000,46,$0.34m,$0.56m
Chile,2,2,1,340000,560000,46,$0.34m,$0.56m
Costa Rica,2,1,1,340000,560000,46,$0.34m,$0.56m
Ireland,2,2,2,340000,560000,46,$0.34m,$0.56m
Panama,2,1,1,340000,560000,46,$0.34m,$0.56m
Romania,2,2,2,325000,560000,46,$0.33m,$0.56m
Serbia,2,1,2,335000,560000,46,$0.34m,$0.56m
Slovakia,2,2,2,325000,560000,46,$0.33m,$0.56m
Slovenia,2,1,2,320000,560000,46,$0.32m,$0.56m
Venezuela,2,2,1,340000,560000,46,$0.34m,$0.56m
Armenia,1,1,1,170000,280000,56,$0.17m,$0.28m
Azerbaijan,1,1,1,170000,280000,56,$0.17m,$0.28m
Bosnia-Herzegovina,1,1,1,155000,280000,56,$0.15m,$0.28m
China,1,1,1,160000,280000,56,$0.16m,$0.28m
Colombia,1,1,1,170000,280000,56,$0.17m,$0.28m
Finland,1,1,1,170000,280000,56,$0.17m,$0.28m
Ghana,1,1,1,170000,280000,56,$0.17m,$0.28m
Honduras,1,1,1,170000,280000,56,$0.17m,$0.28m
Indonesia,1,1,1,165000,280000,56,$0.17m,$0.28m
Kazakhstan,1,1,1,155000,280000,56,$0.15m,$0.28m
Thailand,1,1,1,165000,280000,56,$0.17m,$0.28m
Uruguay,1,1,1,170000,280000,56,$0.17m,$0.28m
