club,club_id,club_url,player_count,represented_countries,total_market_value_eur,player_count_rank
Manchester City,281,https://www.transfermarkt.com/manchester-city/startseite/verein/281,19,12,1081000000,1
Bayern Munich,27,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27,18,10,873000000,2
Arsenal FC,11,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11,16,10,1018000000,3
Paris Saint-Germain,583,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583,15,8,1054000000,4
FC Barcelona,131,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131,14,7,904000000,5
Atlético de Madrid,13,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13,12,5,327000000,6
Crystal Palace,873,https://www.transfermarkt.com/crystal-palace/startseite/verein/873,12,10,324000000,6
Al-Hilal SFC,1114,https://www.transfermarkt.com/al-hilal-riad/startseite/verein/1114,12,6,93700000,6
Liverpool FC,31,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31,11,9,503000000,9
Manchester United,985,https://www.transfermarkt.com/manchester-united/startseite/verein/985,11,9,384000000,9
Borussia Dortmund,16,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16,11,7,286500000,9
Galatasaray,141,https://www.transfermarkt.com/galatasaray-istanbul/startseite/verein/141,11,6,165000000,9
Real Madrid,418,https://www.transfermarkt.com/real-madrid/startseite/verein/418,10,9,840500000,13
AC Milan,5,https://www.transfermarkt.com/ac-mailand/startseite/verein/5,10,8,229500000,13
PSV Eindhoven,383,https://www.transfermarkt.com/psv-eindhoven/startseite/verein/383,10,8,158200000,13
Fenerbahce,36,https://www.transfermarkt.com/fenerbahce-istanbul/startseite/verein/36,10,5,88000000,13
SK Slavia Prague,62,https://www.transfermarkt.com/sk-slavia-prag/startseite/verein/62,10,1,51200000,13
Aston Villa,405,https://www.transfermarkt.com/aston-villa/startseite/verein/405,9,6,266000000,18
Sunderland AFC,289,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289,9,8,209000000,18
CR Flamengo,614,https://www.transfermarkt.com/flamengo-rio-de-janeiro/startseite/verein/614,9,4,92000000,18
Al-Ahli SFC,18487,https://www.transfermarkt.com/al-ahli-dschidda/startseite/verein/18487,9,7,80500000,18
Al-Nassr FC,18544,https://www.transfermarkt.com/al-nasr-riad/startseite/verein/18544,9,3,49625000,18
Al Ahly FC,7,https://www.transfermarkt.com/el-ahly-kairo/startseite/verein/7,9,2,20675000,18
Chelsea FC,631,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631,8,8,457000000,24
Newcastle United,762,https://www.transfermarkt.com/newcastle-united/startseite/verein/762,8,5,341000000,24
Tottenham Hotspur,148,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148,8,8,265000000,24
Brighton & Hove Albion,1237,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237,8,6,229500000,24
VfB Stuttgart,79,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79,8,5,193000000,24
Eintracht Frankfurt,24,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24,8,8,159000000,24
SL Benfica,294,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294,8,7,136000000,24
LOSC Lille,1082,https://www.transfermarkt.com/losc-lille/startseite/verein/1082,8,4,134000000,24
Olympique Marseille,244,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244,8,6,132500000,24
Villarreal CF,1050,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050,8,7,115000000,24
TSG 1899 Hoffenheim,533,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533,8,6,91500000,24
OGC Nice,417,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417,8,7,68500000,24
Celtic FC,371,https://www.transfermarkt.com/celtic-glasgow/startseite/verein/371,8,7,60500000,24
Mamelodi Sundowns FC,6356,https://www.transfermarkt.com/mamelodi-sundowns-fc/startseite/verein/6356,8,1,11900000,24
Orlando Pirates,2557,https://www.transfermarkt.com/orlando-pirates/startseite/verein/2557,8,1,11650000,24
Inter Milan,46,https://www.transfermarkt.com/inter-mailand/startseite/verein/46,7,7,268000000,39
Sporting CP,336,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336,7,5,222000000,39
Bayer 04 Leverkusen,15,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15,7,7,189000000,39
RC Strasbourg Alsace,667,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667,7,5,169000000,39
Atalanta BC,800,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800,7,7,97200000,39
Sociedade Esportiva Palmeiras,1023,https://www.transfermarkt.com/se-palmeiras-sao-paulo/startseite/verein/1023,7,4,87000000,39
Real Betis Balompié,150,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150,7,6,82900000,39
FC Viktoria Plzen,941,https://www.transfermarkt.com/fc-viktoria-pilsen/startseite/verein/941,7,5,22700000,39
Al-Duhail SC,26091,https://www.transfermarkt.com/al-duhail-sc/startseite/verein/26091,7,2,8375000,39
Juventus FC,506,https://www.transfermarkt.com/juventus-turin/startseite/verein/506,6,6,214000000,48
AS Roma,12,https://www.transfermarkt.com/as-rom/startseite/verein/12,6,6,207000000,48
AS Monaco,162,https://www.transfermarkt.com/as-monaco/startseite/verein/162,6,5,183000000,48
Fulham FC,931,https://www.transfermarkt.com/fc-fulham/startseite/verein/931,6,5,94000000,48
1.FSV Mainz 05,39,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39,6,5,67300000,48
Wolverhampton Wanderers,543,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543,6,6,65500000,48
Al-Qadsiah FC,26069,https://www.transfermarkt.com/al-qadisiyah-fc/startseite/verein/26069,6,3,30975000,48
Persepolis FC,6079,https://www.transfermarkt.com/persepolis-fc/startseite/verein/6079,6,2,8100000,48
Esteghlal FC,1076,https://www.transfermarkt.com/esteghlal-fc/startseite/verein/1076,6,3,5000000,48
Al-Hussein SC (Irbid),15795,https://www.transfermarkt.com/al-hussein-sc-irbid-/startseite/verein/15795,6,1,1825000,48
RB Leipzig,23826,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826,5,4,182000000,58
AFC Bournemouth,989,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989,5,4,133000000,58
Nottingham Forest,703,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703,5,5,133000000,58
Olympique Lyon,1041,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041,5,5,89000000,58
Real Sociedad,681,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681,5,4,74000000,58
Feyenoord Rotterdam,234,https://www.transfermarkt.com/feyenoord-rotterdam/startseite/verein/234,5,4,69000000,58
Club Brugge KV,2282,https://www.transfermarkt.com/fc-brugge/startseite/verein/2282,5,3,61000000,58
Bologna FC 1909,1025,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025,5,5,59000000,58
VfL Wolfsburg,82,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82,5,5,54000000,58
Burnley FC,1132,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132,5,5,40000000,58
Deportivo Guadalajara,6711,https://www.transfermarkt.com/deportivo-guadalajara/startseite/verein/6711,5,1,40000000,58
Borussia Mönchengladbach,18,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18,5,4,32500000,58
Basaksehir FK,6890,https://www.transfermarkt.com/istanbul-basaksehir-fk/startseite/verein/6890,5,4,23400000,58
CA River Plate,209,https://www.transfermarkt.com/club-atletico-river-plate/startseite/verein/209,5,4,22800000,58
Norwich City,1123,https://www.transfermarkt.com/norwich-city/startseite/verein/1123,5,5,22400000,58
Rangers FC,124,https://www.transfermarkt.com/glasgow-rangers/startseite/verein/124,5,3,19600000,58
BSC Young Boys,452,https://www.transfermarkt.com/bsc-young-boys/startseite/verein/452,5,4,19000000,58
Al-Sadd SC,656,https://www.transfermarkt.com/al-sadd-sc/startseite/verein/656,5,1,9350000,58
Pyramids FC,44664,https://www.transfermarkt.com/pyramids-fc/startseite/verein/44664,5,3,7650000,58
Pakhtakor Tashkent,3718,https://www.transfermarkt.com/pakhtakor-tashkent/startseite/verein/3718,5,2,5400000,58
Tractor FC,12935,https://www.transfermarkt.com/tractor-fc/startseite/verein/12935,5,2,5150000,58
Auckland FC,118373,https://www.transfermarkt.com/auckland-fc/startseite/verein/118373,5,1,2750000,58
SC Freiburg,60,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60,4,4,106000000,80
Brentford FC,1148,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148,4,4,100200000,80
Athletic Bilbao,621,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621,4,2,94000000,80
West Ham United,379,https://www.transfermarkt.com/west-ham-united/startseite/verein/379,4,4,88000000,80
Leeds United,399,https://www.transfermarkt.com/leeds-united/startseite/verein/399,4,4,80000000,80
Everton FC,29,https://www.transfermarkt.com/fc-everton/startseite/verein/29,4,3,78500000,80
US Sassuolo,6574,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574,4,4,72000000,80
SSC Napoli,6195,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195,4,3,69000000,80
Besiktas JK,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,4,4,63000000,80
SC Braga,1075,https://www.transfermarkt.com/sc-braga/startseite/verein/1075,4,4,60500000,80
RC Lens,826,https://www.transfermarkt.com/rc-lens/startseite/verein/826,4,4,48000000,80
Stade Rennais FC,273,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273,4,4,38000000,80
CF América,3631,https://www.transfermarkt.com/cf-america/startseite/verein/3631,4,3,29000000,80
Ajax Amsterdam,610,https://www.transfermarkt.com/ajax-amsterdam/startseite/verein/610,4,3,27000000,80
KRC Genk,1184,https://www.transfermarkt.com/krc-genk/startseite/verein/1184,4,4,25000000,80
FC Augsburg,167,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167,4,4,24500000,80
Los Angeles FC,51828,https://www.transfermarkt.com/los-angeles-fc/startseite/verein/51828,4,2,24300000,80
Al-Ittihad Club,8023,https://www.transfermarkt.com/al-ittihad-dschidda/startseite/verein/8023,4,3,21850000,80
FC Midtjylland,865,https://www.transfermarkt.com/fc-midtjylland/startseite/verein/865,4,3,16500000,80
AJ Auxerre,290,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290,4,2,14000000,80
Clube Atlético Mineiro,330,https://www.transfermarkt.com/clube-atletico-mineiro/startseite/verein/330,4,2,12500000,80
FC St. Pauli,35,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35,4,3,12000000,80
Al-Wakrah SC,13509,https://www.transfermarkt.com/al-wakrah-sc/startseite/verein/13509,4,2,2775000,80
Al-Zawraa SC,23806,https://www.transfermarkt.com/al-zawraa-sc/startseite/verein/23806,4,2,1850000,80
