manager,country,nationality,title,count
Ståle Solbakken,Norway,Norway,Danish champion,8
Ronald Koeman,Netherlands,Netherlands,Champions League participant,7
Amir Ghalenoei,Iran,Iran,AFC Champions League participant,6
Amir Ghalenoei,Iran,Iran,Iranian champion,5
Carlo Ancelotti,Brazil,Italy,UEFA Champions League winner,5
Carlo Ancelotti,Brazil,Italy,Uefa Supercup winner,5
Ralf Rangnick,Austria,Germany,Champions League participant,5
Ralf Rangnick,Austria,Germany,Europa League participant,5
Sébastien Migné,Haiti,France,Africa Cup participant,5
Carlo Ancelotti,Brazil,Italy,World's Best Club Coach,4
Dick Advocaat,Curaçao,Netherlands,Dutch Super Cup winner,4
Dick Advocaat,Curaçao,Netherlands,Europa League participant,4
Didier Deschamps,France,France,French league cup winner,4
Hugo Broos,South Africa,Belgium,Manager of the Year,4
Julen Lopetegui,Qatar,Spain,Champions League participant,4
Marcelo Bielsa,Uruguay,Argentina,Argentinian champion,4
Rudi Garcia,Belgium,France,Champions League participant,4
Ståle Solbakken,Norway,Norway,Danish Cup Winner,4
Thomas Tuchel,England,Germany,Champions League participant,4
Carlo Ancelotti,Brazil,Italy,FIFA Club World Cup winner,3
Carlos Queiroz,Ghana,Portugal,World Cup participant,3
Carlos Queiroz,Ghana,Portugal,Champions League participant,3
Darren Bazeley,New Zealand,England,OFC-U16/U17-Championship-Winner,3
Dick Advocaat,Curaçao,Netherlands,Champions League participant,3
Didier Deschamps,France,France,World Cup participant,3
Didier Deschamps,France,France,Euro participant,3
Hajime Moriyasu,Japan,Japan,Manager of the Year,3
Hajime Moriyasu,Japan,Japan,Japanese champion,3
Hajime Moriyasu,Japan,Japan,Japanese Super Cup winner,3
Hugo Broos,South Africa,Belgium,Belgian champion,3
Javier Aguirre,Mexico,Mexico,Gold Cup participant,3
Jesse Marsch,Canada,United States,Manager of the Year,3
Julian Nagelsmann,Germany,Germany,Champions League participant,3
Ralf Rangnick,Austria,Germany,Promotion to 2nd league,3
Ronald Koeman,Netherlands,Netherlands,Dutch champion,3
Rudi Garcia,Belgium,France,Europa League participant,3
Thomas Christiansen,Panama,Spain,Gold Cup participant,3
Amir Ghalenoei,Iran,Iran,Iranian cup winner,2
Bubista,Cape Verde,Cape Verde,Africa Cup participant,2
Carlo Ancelotti,Brazil,Italy,Manager of the Year,2
Carlo Ancelotti,Brazil,Italy,Spanish champion,2
Carlo Ancelotti,Brazil,Italy,German Super Cup winner,2
Carlo Ancelotti,Brazil,Italy,Spanish cup winner,2
Carlo Ancelotti,Brazil,Italy,Spanish Super Cup winner,2
Carlos Queiroz,Ghana,Portugal,Africa Cup participant,2
Carlos Queiroz,Ghana,Portugal,Under-20 World Cup champion,2
Darren Bazeley,New Zealand,England,Under-17 World Cup participant,2
Darren Bazeley,New Zealand,England,New Zealand champion,2
Dick Advocaat,Curaçao,Netherlands,World Cup participant,2
Dick Advocaat,Curaçao,Netherlands,Euro participant,2
Dick Advocaat,Curaçao,Netherlands,Scottish champion,2
Dick Advocaat,Curaçao,Netherlands,Scottish cup winner,2
Didier Deschamps,France,France,Manager of the Year,2
Didier Deschamps,France,France,World's Best national team Coach,2
Didier Deschamps,France,France,French Super Cup winner,2
Emerse Faé,Ivory Coast,Cote d'Ivoire,Africa Cup participant,2
Georgios Donis,Saudi Arabia,Greece,Greek cup runner-up,2
Georgios Donis,Saudi Arabia,Greece,Champions League participant,2
Georgios Donis,Saudi Arabia,Greece,Europa League participant,2
Graham Arnold,Iraq,Australia,AFC Champions League participant,2
Graham Arnold,Iraq,Australia,Australian champion,2
Gustavo Alfaro,Paraguay,Argentina,Copa América participant,2
Gustavo Alfaro,Paraguay,Argentina,Argentinian champion,2
Gustavo Alfaro,Paraguay,Argentina,Campeón Supercopa Argentina,2
Hajime Moriyasu,Japan,Japan,Asian Cup participant,2
Hajime Moriyasu,Japan,Japan,East Asian Championship winner,2
Hugo Broos,South Africa,Belgium,Belgian cup winner,2
Hugo Broos,South Africa,Belgium,Africa Cup participant,2
Hugo Broos,South Africa,Belgium,Champions League participant,2
Javier Aguirre,Mexico,Mexico,Gold Cup winner,2
Javier Aguirre,Mexico,Mexico,World Cup participant,2
Javier Aguirre,Mexico,Mexico,CONCACAF Champions League participant,2
Jesse Marsch,Canada,United States,Gold Cup participant,2
Jesse Marsch,Canada,United States,Austrian champion,2
Jesse Marsch,Canada,United States,Austrian cup winner,2
Jesse Marsch,Canada,United States,Champions League participant,2
Jesse Marsch,Canada,United States,Europa League participant,2
Julian Nagelsmann,Germany,Germany,German Super Cup winner,2
Julian Nagelsmann,Germany,Germany,German Under-19 Bundesliga South/South-west champion,2
Lionel Scaloni,Argentina,Argentina,Copa América winner,2
Lionel Scaloni,Argentina,Argentina,World's Best national team Coach,2
Marcelo Bielsa,Uruguay,Argentina,World Cup participant,2
Marcelo Bielsa,Uruguay,Argentina,Olympic medalist,2
Mauricio Pochettino,United States,Argentina,Champions League participant,2
Murat Yakin,Switzerland,Switzerland,Manager of the Year,2
Murat Yakin,Switzerland,Switzerland,Swiss champion,2
Myung-bo Hong,South Korea,"Korea, South",South Korean champion,2
Ralf Rangnick,Austria,Germany,German cup runner-up,2
Ralf Rangnick,Austria,Germany,Promotion to 1st league,2
Ralf Rangnick,Austria,Germany,German Bundesliga runner-up,2
Ralf Rangnick,Austria,Germany,Austrian champion,2
