manager,manager_id,profile_url,achievements_url,nationality,tm_country,country,team_profile_url,age,tenure_text,contract_until,former_player,former_player_profile_url,total_titles_won,title_types,honors_preview,foreign_to_team,age_rank_oldest,title_rank
Carlo Ancelotti,523,https://www.transfermarkt.com/carlo-ancelotti/profil/trainer/523,https://www.transfermarkt.com/carlo-ancelotti/erfolge/trainer/523,Italy,Brazil,Brazil,https://www.transfermarkt.com/brasilien/startseite/verein/3439,66.0,01 year 10 days,2030,True,https://www.transfermarkt.com/carlo-ancelotti/profil/spieler/116679,40,22,"4x World's Best Club Coach, 2x Manager of the Year, 1x UEFA Manager of the Year, 5x UEFA Champions League winner",True,8,1
Ralf Rangnick,196,https://www.transfermarkt.com/ralf-rangnick/profil/trainer/196,https://www.transfermarkt.com/ralf-rangnick/erfolge/trainer/196,Germany,Austria,Austria,https://www.transfermarkt.com/osterreich/startseite/verein/3383,67.0,04 years 04 days,2026,True,https://www.transfermarkt.com/ralf-rangnick/profil/spieler/886551,32,17,"1x Euro participant, 1x German cup winner, 1x German Super Cup winner, 2x German cup runner-up",True,6,2
Thomas Tuchel,7471,https://www.transfermarkt.com/thomas-tuchel/profil/trainer/7471,https://www.transfermarkt.com/thomas-tuchel/erfolge/trainer/7471,Germany,England,England,https://www.transfermarkt.com/england/startseite/verein/3299,52.0,01 year 05 months 04 days,2028,True,https://www.transfermarkt.com/thomas-tuchel/profil/spieler/122791,31,23,"1x World's Best Club Coach, 1x Manager of the Year, 1x UEFA Manager of the Year, 1x UEFA Champions League winner",True,34,3
Dick Advocaat,3,https://www.transfermarkt.com/dick-advocaat/profil/trainer/3,https://www.transfermarkt.com/dick-advocaat/erfolge/trainer/3,Netherlands,Curaçao,Curaçao,https://www.transfermarkt.com/curacao/startseite/verein/32364,78.0,25 days,?,True,https://www.transfermarkt.com/dick-advocaat/profil/spieler/188963,28,16,"1x Uefa Cup winner, 2x World Cup participant, 2x Euro participant, 1x Russian champion",True,1,4
Didier Deschamps,1229,https://www.transfermarkt.com/didier-deschamps/profil/trainer/1229,https://www.transfermarkt.com/didier-deschamps/erfolge/trainer/1229,France,France,France,https://www.transfermarkt.com/frankreich/startseite/verein/3377,57.0,13 years 10 months 28 days,2026,True,https://www.transfermarkt.com/didier-deschamps/profil/spieler/75553,23,13,"1x World Cup winner, 2x Manager of the Year, 2x World's Best national team Coach, 3x World Cup participant",False,22,5
Javier Aguirre,1548,https://www.transfermarkt.com/javier-aguirre/profil/trainer/1548,https://www.transfermarkt.com/javier-aguirre/erfolge/trainer/1548,Mexico,Mexico,Mexico,https://www.transfermarkt.com/mexiko/startseite/verein/6303,67.0,01 year 10 months 13 days,2026,True,https://www.transfermarkt.com/javier-aguirre/profil/spieler/118172,21,16,"2x Gold Cup winner, 1x CONCACAF Champions League winner, 2x World Cup participant, 1x Copa América participant",False,6,6
Ståle Solbakken,3419,https://www.transfermarkt.com/stale-solbakken/profil/trainer/3419,https://www.transfermarkt.com/stale-solbakken/erfolge/trainer/3419,Norway,Norway,Norway,https://www.transfermarkt.com/norwegen/startseite/verein/3440,58.0,05 years 05 months 29 days,2028,True,https://www.transfermarkt.com/stale-solbakken/profil/spieler/103653,19,6,"2x Manager of the Year, 8x Danish champion, 1x Royal League winner, 4x Danish Cup Winner",False,21,7
Hajime Moriyasu,21905,https://www.transfermarkt.com/hajime-moriyasu/profil/trainer/21905,https://www.transfermarkt.com/hajime-moriyasu/erfolge/trainer/21905,Japan,Japan,Japan,https://www.transfermarkt.com/japan/startseite/verein/3435,57.0,07 years 10 months 04 days,2026,True,https://www.transfermarkt.com/hajime-moriyasu/profil/spieler/212429,19,11,"3x Manager of the Year, 1x World Cup participant, 1x Olympics participant, 1x Copa América participant",False,22,7
Hugo Broos,706,https://www.transfermarkt.com/hugo-broos/profil/trainer/706,https://www.transfermarkt.com/hugo-broos/erfolge/trainer/706,Belgium,South Africa,South Africa,https://www.transfermarkt.com/sudafrika/startseite/verein/3806,74.0,05 years 01 month 00 days,2026,True,https://www.transfermarkt.com/hugo-broos/profil/spieler/118146,17,9,"1x Africa Cup winner, 4x Manager of the Year, 2x Belgian cup winner, 1x Confederations Cup participant",True,2,9
Ronald Koeman,439,https://www.transfermarkt.com/ronald-koeman/profil/trainer/439,https://www.transfermarkt.com/ronald-koeman/erfolge/trainer/439,Netherlands,Netherlands,Netherlands,https://www.transfermarkt.com/niederlande/startseite/verein/3379,63.0,03 years 05 months 04 days,2026,True,https://www.transfermarkt.com/ronald-koeman/profil/spieler/7940,17,8,"1x Euro participant, 1x Dutch Super Cup winner, 1x Portuguese Super Cup winner, 1x Dutch Cup winner",False,10,9
Carlos Queiroz,552,https://www.transfermarkt.com/carlos-queiroz/profil/trainer/552,https://www.transfermarkt.com/carlos-queiroz/erfolge/trainer/552,Portugal,Ghana,Ghana,https://www.transfermarkt.com/ghana/startseite/verein/3441,73.0,01 month 23 days,2026,False,,16,10,"3x World Cup participant, 1x Portuguese cup winner, 1x Portuguese Super Cup winner, 1x Gold Cup participant",True,4,11
Georgios Donis,2455,https://www.transfermarkt.com/georgios-donis/profil/trainer/2455,https://www.transfermarkt.com/georgios-donis/erfolge/trainer/2455,Greece,Saudi Arabia,Saudi Arabia,https://www.transfermarkt.com/saudi-arabien/startseite/verein/3807,56.0,01 month 13 days,?,True,https://www.transfermarkt.com/georgios-donis/profil/spieler/107188,16,13,"1x Manager of the Year, 1x Saudi Crown Prince Cup Winner, 1x AFC Champions League participant, 1x Saudi Super Cup Winner",True,25,11
Amir Ghalenoei,9610,https://www.transfermarkt.com/amir-ghalenoei/profil/trainer/9610,https://www.transfermarkt.com/amir-ghalenoei/erfolge/trainer/9610,Iran,Iran,Iran,https://www.transfermarkt.com/iran/startseite/verein/3582,62.0,03 years 02 months 24 days,2026,True,https://www.transfermarkt.com/amir-ghalenoei/profil/spieler/872001,15,5,"1x Asian Cup participant, 1x CAFA Nations Cup winner, 6x AFC Champions League participant, 2x Iranian cup winner",False,12,13
Jesse Marsch,17275,https://www.transfermarkt.com/jesse-marsch/profil/trainer/17275,https://www.transfermarkt.com/jesse-marsch/erfolge/trainer/17275,United States,Canada,Canada,https://www.transfermarkt.com/kanada/startseite/verein/3510,52.0,02 years 23 days,2030,True,https://www.transfermarkt.com/jesse-marsch/profil/spieler/39477,15,8,"3x Manager of the Year, 2x Gold Cup participant, 1x Supporters' Shield Winner, 2x Austrian champion",True,34,13
Julian Nagelsmann,8402,https://www.transfermarkt.com/julian-nagelsmann/profil/trainer/8402,https://www.transfermarkt.com/julian-nagelsmann/erfolge/trainer/8402,Germany,Germany,Germany,https://www.transfermarkt.com/deutschland/startseite/verein/3262,38.0,02 years 08 months 21 days,2028,True,https://www.transfermarkt.com/julian-nagelsmann/profil/spieler/41119,15,11,"1x Manager of the Year, 1x Euro participant, 1x German Champion, 2x German Super Cup winner",False,48,13
Marcelo Bielsa,2553,https://www.transfermarkt.com/marcelo-bielsa/profil/trainer/2553,https://www.transfermarkt.com/marcelo-bielsa/erfolge/trainer/2553,Argentina,Uruguay,Uruguay,https://www.transfermarkt.com/uruguay/startseite/verein/3449,70.0,03 years 21 days,2025,False,,13,8,"1x World's Best national team Coach, 2x World Cup participant, 2x Olympic medalist, 1x English 2nd tier champion",True,5,16
Gustavo Alfaro,4871,https://www.transfermarkt.com/gustavo-alfaro/profil/trainer/4871,https://www.transfermarkt.com/gustavo-alfaro/erfolge/trainer/4871,Argentina,Paraguay,Paraguay,https://www.transfermarkt.com/paraguay/startseite/verein/3581,63.0,01 year 09 months 20 days,2026,False,,11,8,"1x World Cup participant, 2x Copa América participant, 1x Promotion to 1st league, 1x Copa Sudamericana winner",True,10,17
Julen Lopetegui,6615,https://www.transfermarkt.com/julen-lopetegui/profil/trainer/6615,https://www.transfermarkt.com/julen-lopetegui/erfolge/trainer/6615,Spain,Qatar,Qatar,https://www.transfermarkt.com/katar/startseite/verein/14162,59.0,01 year 01 month 05 days,2027,True,https://www.transfermarkt.com/julen-lopetegui/profil/spieler/101570,11,8,"1x Europa League winner, 1x European Under-19 participant, 1x European Under-21 participant, 1x Under-20 World Cup participant",True,18,17
