tournament_year,confederation,teams,player_rows,average_height_cm,average_age
1930,CONCACAF,1,14,175.0,23.93
1930,CONMEBOL,4,84,175.0,25.39
1930,UEFA,2,32,171.29,24.82
1934,UEFA,8,163,175.33,25.23
1934,CAF,1,13,171.0,23.78
1934,CONMEBOL,2,28,,23.76
1938,CONMEBOL,1,22,186.0,26.35
1938,UEFA,7,141,174.23,26.21
1950,CONCACAF,1,18,188.0,26.2
1950,UEFA,4,79,175.02,28.05
1950,CONMEBOL,3,56,174.67,26.62
1954,CONCACAF,1,20,181.0,26.5
1954,CONMEBOL,2,44,176.4,26.49
1954,UEFA,7,148,174.56,26.74
1958,CONCACAF,1,22,179.5,26.74
1958,CONMEBOL,3,60,177.17,26.41
1958,UEFA,5,110,175.34,27.59
1962,CONCACAF,1,22,175.5,26.42
1962,CONMEBOL,4,82,175.23,26.3
1962,UEFA,3,66,175.0,27.56
1966,CONCACAF,1,22,178.75,25.37
1966,CONMEBOL,3,66,176.92,26.69
1966,UEFA,5,110,174.46,27.03
1970,UEFA,3,66,177.05,26.87
1970,CONMEBOL,2,44,175.12,25.51
1970,CONCACAF,1,22,174.0,26.63
1970,CAF,1,19,171.0,25.39
1974,CONCACAF,1,22,182.0,26.05
1974,OFC,1,22,181.48,27.46
1974,CONMEBOL,3,66,177.69,26.54
1974,UEFA,3,66,176.85,27.07
1978,CONCACAF,1,22,181.5,24.2
1978,CAF,1,22,181.0,25.75
1978,CONMEBOL,2,44,178.87,25.86
1978,UEFA,6,132,178.11,27.28
1978,AFC,1,22,174.33,25.64
1982,UEFA,6,132,179.96,27.43
1982,OFC,1,22,177.71,26.48
1982,CAF,1,22,177.3,26.9
1982,CONMEBOL,2,44,177.15,27.14
1986,AFC,1,22,186.0,26.96
1986,UEFA,6,132,179.73,27.42
1986,CONCACAF,2,44,178.8,26.09
1986,CONMEBOL,4,88,177.2,26.84
1986,CAF,2,44,176.82,27.4
1990,UEFA,7,155,181.72,26.77
1990,CAF,1,22,179.71,27.26
1990,CONMEBOL,4,89,178.61,26.98
1994,UEFA,7,154,182.57,27.64
1994,CAF,1,22,181.28,26.65
1994,CONCACAF,1,23,179.33,28.29
1994,CONMEBOL,3,66,179.19,27.7
1994,AFC,1,22,178.83,24.23
1998,UEFA,9,198,183.18,28.39
1998,CAF,3,67,180.71,26.45
1998,CONMEBOL,4,88,178.94,27.3
1998,AFC,3,67,178.68,26.25
1998,CONCACAF,1,22,175.9,27.36
2002,UEFA,9,207,182.54,28.04
2002,CAF,3,70,180.51,26.58
2002,CONMEBOL,5,115,178.98,27.48
2002,AFC,2,47,178.43,26.03
2002,CONCACAF,1,23,177.74,28.99
2006,UEFA,10,230,183.39,27.38
2006,OFC,1,23,181.86,28.49
2006,CAF,3,69,181.32,26.16
2006,AFC,3,69,180.45,27.16
2006,CONCACAF,1,23,178.71,27.84
2006,CONMEBOL,4,92,177.35,27.37
2010,OFC,2,46,183.21,28.45
2010,UEFA,7,161,182.4,27.46
2010,CONMEBOL,4,92,180.97,28.15
2010,CAF,4,92,180.47,26.4
2010,AFC,1,23,179.9,28.25
2010,CONCACAF,1,23,178.2,27.57
2014,UEFA,10,230,183.67,26.93
2014,AFC,2,46,181.15,27.87
2014,OFC,1,23,180.84,26.36
2014,CAF,3,69,180.55,26.63
2014,CONMEBOL,5,115,179.39,28.21
2014,CONCACAF,1,23,178.14,27.26
2018,UEFA,9,207,183.43,27.44
2018,CAF,4,92,182.76,27.43
2018,CONCACAF,2,46,181.16,29.06
2018,OFC,1,23,180.87,28.14
2018,AFC,4,92,180.73,28.08
2018,CONMEBOL,4,92,180.29,28.66
2022,UEFA,9,234,183.69,27.28
2022,CAF,4,104,182.52,26.75
2022,CONCACAF,3,78,181.07,27.36
2022,OFC,1,26,180.96,27.62
2022,AFC,5,129,180.74,28.23
2022,CONMEBOL,4,104,180.42,27.78
2026,UEFA,16,416,184.96,27.67
2026,OFC,2,52,183.89,27.74
2026,CONCACAF,6,155,182.46,28.0
2026,CAF,10,260,182.26,27.44
2026,AFC,8,208,181.02,28.54
2026,CONMEBOL,6,156,180.48,28.7
