country,baseline_tournament_year,baseline_average_height_cm,baseline_average_age,height_delta_cm,age_delta_years
Algeria,1986.0,177.56,28.27,4.03,-1.41
Argentina,1994.0,179.85,27.86,-1.13,1.19
Australia,2022.0,180.96,27.62,3.9,-0.26
Austria,1998.0,183.25,29.76,0.62,-1.22
Belgium,1994.0,180.57,29.41,5.71,-1.8
Bosnia and Herzegovina,2014.0,186.0,27.06,7.0,-0.64
Brazil,1994.0,180.33,27.84,2.25,1.36
Canada,1986.0,179.45,25.99,4.59,1.11
Cape Verde,,,,,
Colombia,1994.0,176.8,27.39,2.49,2.7
Croatia,2022.0,184.54,27.91,-0.82,0.42
Curaçao,,,,,
Czech Republic,2006.0,188.5,28.88,0.17,-1.26
DR Congo,,,,,
Ecuador,2022.0,180.5,26.07,-0.73,0.01
Egypt,2018.0,181.23,28.98,-0.87,0.08
England,1986.0,180.62,26.81,3.83,0.33
France,1986.0,178.89,27.96,7.3,-0.96
Germany,1994.0,183.62,29.0,1.28,-1.02
Ghana,2022.0,179.46,25.3,2.76,1.68
Haiti,1974.0,182.0,26.05,-0.38,1.52
Iran,2022.0,183.72,29.42,-0.94,0.91
Iraq,1986.0,186.0,26.95,-2.68,0.2
Ivory Coast,2014.0,180.86,27.83,3.81,-1.98
Japan,2022.0,179.88,28.24,1.52,-0.49
Jordan,,,,,
Mexico,1994.0,179.33,28.29,0.38,-0.39
Morocco,1994.0,181.28,26.65,2.37,-0.26
Netherlands,1994.0,182.76,27.38,2.28,0.36
New Zealand,2010.0,184.89,27.87,-1.85,0.25
Norway,1994.0,185.79,26.95,0.15,-0.14
Panama,2018.0,182.91,28.87,-2.21,1.56
Paraguay,1986.0,178.0,26.75,1.17,2.28
Portugal,1986.0,177.0,27.93,4.1,0.11
Qatar,2022.0,180.08,27.53,0.24,1.98
Saudi Arabia,1994.0,178.83,24.23,-1.63,4.29
Scotland,1986.0,178.75,27.57,7.45,1.64
Senegal,2022.0,184.92,26.46,0.23,0.63
South Africa,2010.0,178.71,27.31,-0.66,-0.5
South Korea,2022.0,181.12,28.17,0.72,-0.11
Spain,1994.0,181.75,26.67,0.46,0.08
Sweden,1994.0,183.28,25.73,1.29,1.82
Switzerland,1994.0,179.87,28.36,5.52,-0.05
Tunisia,2022.0,182.69,28.54,1.02,-1.89
Turkey,2002.0,177.33,28.04,10.27,-0.37
United States,2022.0,182.7,25.59,0.72,1.32
Uruguay,1986.0,176.57,26.63,5.35,2.11
Uzbekistan,,,,,
