country,tournament_year,average_height_cm,average_age,player_rows,confederation,group,baseline_tournament_year,baseline_average_height_cm,baseline_average_age,height_delta_cm,age_delta_years,height_rank,age_rank
Bosnia and Herzegovina,2026,193.0,26.42,26,UEFA,Group B,2014.0,186.0,27.06,7.0,-0.64,1,45
Czech Republic,2026,188.67,27.62,26,UEFA,Group A,2006.0,188.5,28.88,0.17,-1.26,2,28
Turkey,2026,187.6,27.67,26,UEFA,Group D,2002.0,177.33,28.04,10.27,-0.37,3,27
Belgium,2026,186.29,27.62,26,UEFA,Group G,1994.0,180.57,29.41,5.71,-1.8,4,29
Scotland,2026,186.2,29.2,26,UEFA,Group C,1986.0,178.75,27.57,7.45,1.64,5,6
France,2026,186.19,27.0,26,UEFA,Group I,1986.0,178.89,27.96,7.3,-0.96,6,37
Norway,2026,185.93,26.8,26,UEFA,Group I,1994.0,185.79,26.95,0.15,-0.14,7,42
Switzerland,2026,185.39,28.31,26,UEFA,Group B,1994.0,179.87,28.36,5.52,-0.05,8,18
Senegal,2026,185.15,27.09,26,CAF,Group I,2022.0,184.92,26.46,0.23,0.63,9,36
Netherlands,2026,185.04,27.74,26,UEFA,Group F,1994.0,182.76,27.38,2.28,0.36,10,26
Germany,2026,184.89,27.98,26,UEFA,Group E,1994.0,183.62,29.0,1.28,-1.02,11,23
Australia,2026,184.86,27.36,26,OFC,Group D,2022.0,180.96,27.62,3.9,-0.26,12,32
Ivory Coast,2026,184.67,25.85,26,CAF,Group E,2014.0,180.86,27.83,3.81,-1.98,13,48
Sweden,2026,184.57,27.56,26,UEFA,Group F,1994.0,183.28,25.73,1.29,1.82,14,31
England,2026,184.45,27.14,26,UEFA,Group L,1986.0,180.62,26.81,3.83,0.33,15,34
Canada,2026,184.04,27.1,25,CONCACAF,Group B,1986.0,179.45,25.99,4.59,1.11,16,35
Austria,2026,183.87,28.54,26,UEFA,Group J,1998.0,183.25,29.76,0.62,-1.22,17,13
Croatia,2026,183.71,28.33,26,UEFA,Group L,2022.0,184.54,27.91,-0.82,0.42,18,17
Tunisia,2026,183.71,26.64,26,CAF,Group F,2022.0,182.69,28.54,1.02,-1.89,18,44
Morocco,2026,183.65,26.39,26,CAF,Group C,1994.0,181.28,26.65,2.37,-0.26,20,46
United States,2026,183.42,26.9,26,CONCACAF,Group D,2022.0,182.7,25.59,0.72,1.32,21,39
Iraq,2026,183.32,27.15,26,AFC,Group I,1986.0,186.0,26.95,-2.68,0.2,22,33
New Zealand,2026,183.04,28.12,26,OFC,Group G,2010.0,184.89,27.87,-1.85,0.25,23,19
Iran,2026,182.78,30.33,26,AFC,Group G,2022.0,183.72,29.42,-0.94,0.91,24,2
Brazil,2026,182.58,29.2,26,CONMEBOL,Group C,1994.0,180.33,27.84,2.25,1.36,25,7
DR Congo,2026,182.48,29.07,26,CAF,Group K,,,,,,26,8
Curaçao,2026,182.29,28.02,26,CONCACAF,Group E,,,,,,27,22
Ghana,2026,182.22,26.98,26,CAF,Group L,2022.0,179.46,25.3,2.76,1.68,28,38
Spain,2026,182.21,26.75,26,UEFA,Group H,1994.0,181.75,26.67,0.46,0.08,29,43
Uruguay,2026,181.92,28.74,26,CONMEBOL,Group H,1986.0,176.57,26.63,5.35,2.11,30,12
South Korea,2026,181.83,28.07,26,AFC,Group A,2022.0,181.12,28.17,0.72,-0.11,31,20
Haiti,2026,181.62,27.58,26,CONCACAF,Group C,1974.0,182.0,26.05,-0.38,1.52,32,30
Algeria,2026,181.59,26.86,26,CAF,Group J,1986.0,177.56,28.27,4.03,-1.41,33,40
Japan,2026,181.4,27.75,26,AFC,Group F,2022.0,179.88,28.24,1.52,-0.49,34,25
Cape Verde,2026,181.25,29.68,26,CAF,Group H,,,,,,35,4
Portugal,2026,181.1,28.04,26,UEFA,Group K,1986.0,177.0,27.93,4.1,0.11,36,21
Panama,2026,180.7,30.43,26,CONCACAF,Group L,2018.0,182.91,28.87,-2.21,1.56,37,1
Uzbekistan,2026,180.68,28.51,26,AFC,Group K,,,,,,38,15
Egypt,2026,180.35,29.06,26,CAF,Group G,2018.0,181.23,28.98,-0.87,0.08,39,9
Qatar,2026,180.31,29.51,26,AFC,Group B,2022.0,180.08,27.53,0.24,1.98,40,5
Jordan,2026,180.05,28.44,26,AFC,Group J,,,,,,41,16
Ecuador,2026,179.77,26.08,26,CONMEBOL,Group E,2022.0,180.5,26.07,-0.73,0.01,42,47
Mexico,2026,179.71,27.9,26,CONCACAF,Group A,1994.0,179.33,28.29,0.38,-0.39,43,24
Colombia,2026,179.29,30.09,26,CONMEBOL,Group K,1994.0,176.8,27.39,2.49,2.7,44,3
Paraguay,2026,179.17,29.03,26,CONMEBOL,Group D,1986.0,178.0,26.75,1.17,2.28,45,11
Argentina,2026,178.71,29.05,26,CONMEBOL,Group J,1994.0,179.85,27.86,-1.13,1.19,46,10
South Africa,2026,178.06,26.81,26,CAF,Group A,2010.0,178.71,27.31,-0.66,-0.5,47,41
Saudi Arabia,2026,177.2,28.52,26,AFC,Group H,1994.0,178.83,24.23,-1.63,4.29,48,14
