tournament_year,Defender,Forward,Goalkeeper,Midfielder,unspecified
1930,21.17,43.69,9.91,25.23,
1934,18.73,40.8,11.71,27.76,1.0
1938,18.15,42.47,12.67,26.03,0.68
1950,25.51,42.39,10.7,21.4,
1954,25.15,40.64,11.99,21.93,0.29
1958,25.37,41.89,12.09,20.65,
1962,31.1,37.21,12.21,19.48,
1966,30.4,32.95,12.78,23.86,
1970,33.53,27.41,13.12,25.95,
1974,32.95,25.28,13.64,28.12,
1978,32.39,26.14,13.35,28.12,
1982,33.33,24.43,13.64,28.41,0.19
1986,32.39,22.54,13.26,31.82,
1990,33.02,21.7,13.4,31.7,0.19
1994,33.27,21.74,13.04,31.76,0.19
1998,32.02,21.64,13.16,33.04,0.15
2002,31.3,22.49,13.01,33.2,
2006,32.29,22.52,13.03,32.02,0.14
2010,32.47,22.69,13.04,31.79,
2014,31.25,21.74,13.04,33.97,
2018,33.42,21.47,13.04,32.07,
2022,32.73,22.62,11.91,32.73,
2026,33.76,24.94,11.63,29.67,
