tournament_year,position,average_height_cm,player_rows
1930,Defender,177.03,47
1930,Forward,171.0,97
1930,Goalkeeper,176.33,22
1930,Midfielder,172.8,56
1934,Defender,173.24,56
1934,Forward,175.31,122
1934,Goalkeeper,184.65,35
1934,Midfielder,172.2,83
1934,unspecified,,3
1938,Defender,179.0,53
1938,Forward,175.0,124
1938,Goalkeeper,175.2,37
1938,Midfielder,171.62,76
1938,unspecified,,2
1950,Defender,172.57,62
1950,Forward,172.86,103
1950,Goalkeeper,177.9,26
1950,Midfielder,179.19,52
1954,Defender,175.79,86
1954,Forward,173.87,139
1954,Goalkeeper,177.78,41
1954,Midfielder,175.07,75
1954,unspecified,,1
1958,Defender,176.82,86
1958,Forward,174.26,142
1958,Goalkeeper,179.09,41
1958,Midfielder,175.26,70
1962,Defender,175.98,107
1962,Forward,174.02,128
1962,Goalkeeper,180.71,42
1962,Midfielder,175.35,67
1966,Defender,176.91,107
1966,Forward,172.91,116
1966,Goalkeeper,179.33,45
1966,Midfielder,174.89,84
1970,Defender,177.22,115
1970,Forward,177.47,94
1970,Goalkeeper,182.13,45
1970,Midfielder,174.9,89
1974,Defender,178.97,116
1974,Forward,176.94,89
1974,Goalkeeper,180.32,48
1974,Midfielder,176.25,99
1978,Defender,179.16,114
1978,Forward,178.22,92
1978,Goalkeeper,180.97,47
1978,Midfielder,177.24,99
1982,Defender,179.97,176
1982,Forward,179.0,129
1982,Goalkeeper,182.83,72
1982,Midfielder,176.5,150
1982,unspecified,,1
1986,Defender,180.45,171
1986,Forward,177.96,119
1986,Goalkeeper,182.73,70
1986,Midfielder,177.01,168
1990,Defender,181.04,175
1990,Forward,179.43,115
1990,Goalkeeper,185.84,71
1990,Midfielder,177.65,168
1990,unspecified,193.0,1
1994,Defender,181.39,176
1994,Forward,180.16,115
1994,Goalkeeper,186.25,69
1994,Midfielder,177.72,168
1994,unspecified,,1
1998,Defender,182.01,219
1998,Forward,179.91,148
1998,Goalkeeper,186.79,90
1998,Midfielder,178.98,226
1998,unspecified,,1
2002,Defender,182.45,231
2002,Forward,180.51,166
2002,Goalkeeper,186.09,96
2002,Midfielder,178.08,245
2006,Defender,182.75,238
2006,Forward,181.23,166
2006,Goalkeeper,188.79,96
2006,Midfielder,178.63,236
2006,unspecified,,1
2010,Defender,182.62,239
2010,Forward,181.52,167
2010,Goalkeeper,187.02,96
2010,Midfielder,178.75,234
2014,Defender,183.38,230
2014,Forward,180.99,160
2014,Goalkeeper,188.38,96
2014,Midfielder,178.6,250
2018,Defender,183.31,246
2018,Forward,181.3,158
2018,Goalkeeper,188.81,96
2018,Midfielder,179.79,236
2022,Defender,183.07,272
2022,Forward,181.01,188
2022,Goalkeeper,190.0,99
2022,Midfielder,179.82,272
2026,Defender,184.05,421
2026,Forward,181.38,311
2026,Goalkeeper,189.14,145
2026,Midfielder,179.93,370
