country,player_rows,squad_market_value_eur,average_player_market_value_eur,market_value_rank
France,26,1523000000,58576923.07692308,1
England,26,1363200000,52430769.23076923,2
Spain,26,1222800000,47030769.23076923,3
Portugal,26,1005500000,38673076.92307692,4
Germany,26,979000000,37653846.15384615,5
Brazil,26,923200000,35507692.307692304,6
Netherlands,26,804200000,30930769.230769232,7
Argentina,26,800500000,30788461.53846154,8
Norway,26,589900000,22688461.53846154,9
Belgium,26,547500000,21057692.307692308,10
Ivory Coast,26,522100000,20080769.230769232,11
Morocco,26,498300000,19165384.615384616,12
Senegal,26,478100000,18388461.53846154,13
Turkey,26,473700000,18219230.769230768,14
Sweden,26,406075000,15618269.23076923,15
Croatia,26,387300000,14896153.846153846,16
United States,26,385650000,14832692.307692308,17
Ecuador,26,368700000,14180769.23076923,18
Uruguay,26,359300000,13819230.76923077,19
Switzerland,26,332500000,12788461.538461538,20
Colombia,26,302350000,11628846.153846154,21
Japan,26,270850000,10417307.692307692,22
Algeria,26,256900000,9880769.23076923,23
Austria,25,242200000,9688000.0,24
Ghana,26,234350000,9013461.538461538,25
Canada,25,196650000,7866000.0,26
Mexico,26,191850000,7378846.153846154,27
Czech Republic,26,188175000,7237500.0,28
Scotland,26,170250000,6548076.923076923,29
Paraguay,26,153650000,5909615.384615385,30
Bosnia and Herzegovina,26,151600000,5830769.230769231,31
DR Congo,26,143900000,5534615.384615385,32
South Korea,26,139050000,5348076.923076923,33
Egypt,26,116475000,4479807.692307692,34
Uzbekistan,26,85325000,3281730.769230769,35
Australia,26,77450000,2978846.153846154,36
Tunisia,26,69950000,2690384.6153846155,37
Haiti,26,55900000,2150000.0,38
Cape Verde,26,54500000,2096153.8461538462,39
South Africa,26,49250000,1894230.7692307692,40
Saudi Arabia,26,40675000,1564423.076923077,41
Panama,26,34550000,1328846.1538461538,42
New Zealand,26,34350000,1321153.8461538462,43
Iran,26,32050000,1232692.3076923077,44
Curaçao,26,25775000,991346.1538461539,45
Iraq,26,21200000,815384.6153846154,46
Jordan,26,20500000,788461.5384615385,47
Qatar,26,19925000,766346.1538461539,48
