tournament_year,average_height_cm,average_age,player_rows,countries,height_rows,age_rows,height_coverage_pct,age_coverage_pct
1930,173.9,24.83,222,13,28,222,12.6,100.0
1934,174.52,25.39,299,16,42,299,14.0,100.0
1938,174.8,26.1,292,15,30,292,10.3,100.0
1950,175.38,27.06,243,13,43,243,17.7,100.0
1954,175.36,26.94,342,16,73,342,21.3,100.0
1958,176.1,26.84,339,16,72,339,21.2,100.0
1962,176.02,26.22,344,16,83,344,24.1,100.0
1966,175.72,26.27,352,16,113,352,32.1,100.0
1970,177.46,26.24,343,16,104,343,30.3,100.0
1974,177.87,26.68,352,16,129,352,36.6,100.0
1978,178.51,26.57,352,16,155,352,44.0,100.0
1982,179.22,27.09,528,24,232,528,43.9,100.0
1986,178.99,27.06,528,24,254,528,48.1,100.0
1990,180.42,26.9,530,24,271,530,51.1,100.0
1994,180.61,27.36,529,24,305,529,57.7,100.0
1998,181.26,27.44,684,31,411,684,60.1,100.0
2002,181.01,27.44,738,32,419,738,56.8,100.0
2006,181.78,27.34,737,32,423,737,57.4,100.0
2010,181.63,27.34,736,32,443,736,60.2,100.0
2014,181.95,27.3,736,32,418,736,56.8,100.0
2018,182.46,27.9,736,32,732,736,99.5,100.0
2022,182.38,27.45,831,32,826,831,99.4,100.0
2026,182.76,27.94,1247,48,813,1247,65.2,100.0
