tournament_year,average_height_cm,players_with_height,tournament_start_date
1930,173.9,28,1930-07-13
1934,174.52,42,1934-05-27
1938,174.8,30,1938-06-04
1950,175.38,43,1950-06-24
1954,175.36,73,1954-06-16
1958,176.1,72,1958-06-08
1962,176.02,83,1962-05-30
1966,175.72,113,1966-07-11
1970,177.46,104,1970-05-31
1974,177.87,129,1974-06-13
1978,178.51,155,1978-06-01
1982,179.22,232,1982-06-13
1986,178.99,254,1986-05-31
1990,180.42,271,1990-06-08
1994,180.61,305,1994-06-17
1998,181.26,411,1998-06-10
2002,181.01,419,2002-05-31
2006,181.78,423,2006-06-09
2010,181.63,443,2010-06-11
2014,181.95,418,2014-06-12
2018,182.46,732,2018-06-14
2022,182.38,826,2022-11-20
2026,182.76,813,2026-06-11
